Trip,Region,Parcels,TruckAge,Minutes
1,B,42,3,489.4
2,B,46,11,461.9
3,A,34,9,447.9
4,A,44,1,506.6
5,B,30,13,303
6,A,30,7,415.1
7,A,48,2,546.3
8,B,32,1,273.1
9,B,44,7,419
10,A,40,4,486.2
11,B,36,15,367.7
12,B,42,2,380.6
13,B,38,1,333.5
14,B,26,14,264.9
15,A,24,11,347
16,A,22,12,321.3
17,A,26,14,381.4
18,B,20,15,216.7
19,A,38,6,488.9
20,B,48,10,474.4
21,A,36,8,464.4
22,A,28,15,413.5
23,B,22,3,196.1
24,A,20,15,315.7
25,B,34,9,330.3
26,B,40,7,388
27,B,28,5,264.1
28,B,24,6,228.6
29,A,32,9,434
30,A,46,1,517.9
