Store,Sales per Square Foot ($),Size of Store (in Sq. Ft.),Advertising Dollars,Number of Products Offered in Store
1,837,64796,22000,32920
2,748,74179,58000,25034
3,744,70298,58000,23989
4,853,63367,56000,31095
5,839,74412,67000,35055
6,868,58455,66000,35551
7,708,76501,23000,39168
8,820,52619,33000,32831
9,735,59484,56000,25716
10,878,59172,42000,29875
11,853,52569,30000,21972
12,989,51980,68000,32170
13,874,70410,68000,28316
14,817,62228,40000,32292
15,972,76876,70000,27143
16,859,54371,60000,36712
17,842,54927,48000,34081
18,869,53662,49000,28040
19,800,72734,48000,35770
20,933,69596,54000,31333
21,839,63313,57000,35322
22,846,58949,54000,23982
23,829,72018,56000,32718
24,762,58293,70000,39973
25,911,67976,67000,25611
26,771,72071,38000,38049
27,876,57208,63000,32133
28,818,54064,43000,38183
29,846,62834,59000,35012
30,897,54846,60000,26120
31,834,72043,65000,36733
32,869,56886,42000,27117
33,831,59754,53000,37307
34,868,56664,63000,34825
35,855,75464,24000,29490
36,756,73810,31000,37355
37,827,61136,31000,24870
38,868,62223,65000,32737
39,791,60983,30000,34160
40,809,68851,43000,32507
41,893,52155,64000,31092
42,941,58777,65000,23562
43,989,62251,54000,26053
44,894,79819,66000,28967
45,821,69625,31000,21849
46,852,54755,33000,23000
47,791,69227,21000,24551
48,850,52643,29000,22388
49,825,74503,64000,37020
50,851,65501,69000,37754
51,870,65883,51000,22280
52,748,71727,25000,37142
53,817,53515,27000,29527
54,738,70389,47000,29192
55,795,62193,27000,37369
56,853,56347,45000,28669
57,963,58023,63000,23854
58,805,61835,45000,38514
59,742,64819,21000,21564
60,854,67364,67000,34832
61,751,55491,60000,39056
62,973,66303,56000,32512
63,864,58052,66000,36616
64,794,67321,27000,28244
65,705,71482,41000,28980
66,812,60021,21000,23946
67,864,53108,52000,31507
68,924,55101,70000,24530
69,767,76177,60000,37966
70,808,64877,22000,22950
